"DateTime","Final price"
"2014-11-27 20:37:36",10.99
"2014-12-01 18:00:13",5.49
"2014-12-03 18:02:47",16.49
"2014-12-03 18:06:28",21.99
"2014-12-18 18:29:04",26.39
"2014-12-19 09:33:28",10.99
"2014-12-21 18:02:47",5.49
"2014-12-23 18:05:29",10.99
"2014-12-31 18:05:14",5.49
"2015-01-02 18:13:25",21.99
"2015-04-23 17:00:04",5.49
"2015-04-27 17:06:31",21.99
"2015-06-11 18:56:20",10.99
"2015-06-17 17:05:42",5.49
"2015-06-20 08:16:45",10.99
"2015-06-20 17:05:24",5.49
"2015-06-22 18:02:06",21.99
"2015-07-22 18:15:17",21.99
"2015-07-23 17:05:33",7.47
"2015-07-25 17:05:14",13.19
"2015-07-27 17:05:34",21.99
"2015-10-13 23:25:34",7.47
"2015-10-13 23:30:35",21.99
"2015-10-14 18:00:05",7.47
"2015-10-16 17:07:23",21.99
"2015-11-25 18:19:15",5.49
"2015-12-01 18:34:45",21.99
"2015-12-22 19:15:49",5.49
"2016-01-04 20:23:44",21.99
"2016-02-05 18:53:22",5.49
"2016-02-12 18:44:25",21.99
"2016-06-23 22:21:43",10.99
"2016-07-04 17:51:38",21.99
"2016-08-02 21:40:22",10.99
"2016-08-08 17:10:24",21.99
"2016-11-23 20:15:35",7.25
"2016-11-30 12:23:25",21.99
